"","year","accomplishment","person","gender","category","decade"
"386",1988,"First African-American candidate for President of the United States to obtain ballot access in all 50 states","Lenora Fulani","African-American Firsts","Education & Science",1980
"387",1988,"First African-American NFL referee","Johnny Grier","African-American Firsts","Sports",1980
"388",1988,"First African-American quarterback to start (and to win) a Super Bowl","Doug Williams (Super Bowl XXII)","African-American Firsts",NA,1980
"389",1989,"First African-American NFL coach of the modern era","Art Shell, Los Angeles Raiders","African-American Firsts","Education & Science",1980
"390",1989,"First African-American mayor of New York City","David Dinkins","African-American Firsts","Politics",1980
"391",1989,"First African-American Chairman of the Joint Chiefs of Staff","Colin Powell","African-American Firsts","Politics",1980
"392",1989,"First African-American woman, and first woman, ordained bishop in the Episcopal Church","Barbara Clementine Harris","Female African American Firsts","Religion",1980
"393",1989,"First African-American Chairman of the Democratic National Committee","Ron Brown","African-American Firsts","Politics",1980
"394",1990,"First elected African-American governor","Douglas Wilder (Virginia) (See also","African-American Firsts","Politics",1990
"395",1990,"First African-American elected president of the Harvard Law Review","Barack Obama[250] (See also","African-American Firsts","Law",1990
"396",1990,"First African-American Miss USA","Carole Gist","African-American Firsts","Social & Jobs",1990
"397",1990,"First African-American Playboy Playmate of the Year","Renee Tenison","African-American Firsts","Social & Jobs",1990
"398",1991,"First African-American to qualify for the Indianapolis 500 auto race","Willy T. Ribbs (See also","African-American Firsts","Sports",1990
"399",1991,"First African-American female mayor of Washington, D.C.","Sharon Pratt Kelly","Female African American Firsts","Politics",1990
"400",1991,"First African-American NBA Coach of the Year","Don Chaney (Houston Rockets)","African-American Firsts","Sports",1990
"401",1992,"First African-American female astronaut","Dr. Mae Jemison (Space Shuttle Endeavour)","Female African American Firsts","Education & Science",1990
"402",1992,"First African-American woman elected to U.S. Senate","Carol Moseley Braun (Illinois)","Female African American Firsts","Politics",1990
"403",1992,"First African-American woman to moderate a Presidential debate","Carole Simpson (second debate of 1992 campaign)","Female African American Firsts","Education & Science",1990
"404",1992,"First African-American to sail solo around the world following the Age of Sail route around the southern tips of South America (Cape Horn) and Africa (Cape of Good Hope), avoiding the Panama and Suez Canals","Bill Pinkney[251]","Female African American Firsts",NA,1990
"405",1992,"First African-American Major League Baseball manager to reach (and win) the World Series","Cito Gaston (Toronto Blue Jays) 1992 World Series","African-American Firsts","Education & Science",1990
"406",1992,"First African-American to direct an animated film","Bruce W. Smith (Bébé's Kids)","African-American Firsts",NA,1990
"407",1993,"First African-American United States Secretary of Commerce","Ron Brown","African-American Firsts","Politics",1990
"408",1993,"First African-American woman, and first woman, appointed as U.S. Secretary of Energy","Hazel R. O'Leary","Female African American Firsts","Politics",1990
"409",1993,"First African-American to win the Nobel Prize for Literature","Toni Morrison","African-American Firsts","Education & Science",1990
"410",1993,"First African-American woman named Poet Laureate of the United States","Rita Dove; also the youngest person named to that position","Female African American Firsts","Education & Science",1990
"411",1993,"First African-American appointed Director of the National Drug Control Policy","Lee P. Brown","African-American Firsts","Arts & Entertainment",1990
"412",1993,"First African-American Director of the Centers for Disease Control and Prevention","David Satcher[252]","African-American Firsts","Arts & Entertainment",1990
"413",1993,"First African-American appointed Surgeon General of the United States","Joycelyn Elders","African-American Firsts","Military",1990
"414",1993,"First African-American to serve as home plate umpire for World Series game","Charlie Williams for Game 4 of the 1993 World Series","African-American Firsts","Military",1990
"415",1993,"First African-American to be inducted as a member of the Grand Ole Opry","Charley Pride[253]","African-American Firsts","Arts & Entertainment",1990
"416",1994,"First African-American female director of a major-studio movie","Darnell Martin (Columbia Pictures' I Like It Like That)","Female African American Firsts","Arts & Entertainment",1990
"417",1994,"First African-American to win the United States Amateur Championship","Tiger Woods[Note 23]","African-American Firsts","Politics",1990
"418",1995,"First African-American inductee to the National Radio Hall of Fame","Hal Jackson","African-American Firsts","Arts & Entertainment",1990
"419",1995,"First African-American Sergeant Major of the Army","Gene C. McKinney","African-American Firsts","Military",1990
"420",1995,"First African-American Miss Universe","Chelsi Smith","African-American Firsts","Social & Jobs",1990
"421",1995,"First African-American Personal Diarist to a President of the United States (President William J. Clinton) (Janis F. Kearney)[254]",NA,"African-American Firsts","Education & Science",1990
"422",1996,"First African-American U.S. Navy four-star admiral","J. Paul Reason[255]","African-American Firsts","Military",1990
"423",1996,"First African-American MLB general manager to win the World Series","Bob Watson (New York Yankees), 1996 World Series","African-American Firsts","Military",1990
"424",1997,"First African-American to win a men's major golf championship","Tiger Woods (The Masters)[Note 23]","African-American Firsts","Sports",1990
"425",1997,"First African-American model to appear on the cover of Sports Illustrated Swimsuit Edition","Tyra Banks","African-American Firsts","Education & Science",1990
"426",1997,"First African-American UFC champion","Maurice Smith","African-American Firsts","Sports",1990
"427",1997,"First African-American Director of the National Park Service","Robert Stanton[256]","African-American Firsts","Arts & Entertainment",1990
"428",1998,"First African-American appointed U.S. Secretary of Labor","Alexis Herman","African-American Firsts","Politics",1990
"429",1998,"First African-American female rear admiral in the U.S. Navy","Lillian Fishburne","Female African American Firsts","Military",1990
"430",1998,"First African-American Master Chief Petty Officer of the Coast Guard","Vincent W. Patton III","African-American Firsts","Military",1990
"431",1998,"First African-American to play in the Presidents Cup","Tiger Woods[Note 23]","African-American Firsts","Politics",1990
"432",1998,"First African-American to lie in honor at the U.S. Capitol","Jacob Chestnut[257][258] (See also","African-American Firsts",NA,1990
"433",1999,"First African-American to be awarded the Grandmaster title in chess","Maurice Ashley[259][better source needed]","African-American Firsts","Social & Jobs",1990
"434",1999,"First African-American Sergeant Major of the Marine Corps","Alford L. McMichael","African-American Firsts","Military",1990
"435",1999,"First African-American CEO of a Fortune 500 company","Franklin Raines of Fannie Mae[260]","African-American Firsts","Social & Jobs",1990
"436",1999,"First African-American female university president","Shirley Ann Jackson at Rensselaer Polytechnic Institute[261]","Female African American Firsts","Education & Science",1990
"437",2000,"First African-American nominated for Vice President of the United States by a Federal Election Commission-recognized and federally funded political party","Ezola B. Foster (See also","African-American Firsts","Politics",2000
"438",2000,"First African-American to be inducted into the Country Music Hall of Fame","Charley Pride[262]","African-American Firsts","Arts & Entertainment",2000
"439",2001,"First Jamaican-American Secretary of State","Colin Powell","African-American Firsts","Politics",2000
"440",2001,"First African-American president of the United States Conference of Catholic Bishops","The Most Reverend Wilton Daniel Gregory","African-American Firsts","Religion",2000
"441",2001,"First African-American president of the Unitarian Universalist Association","Rev. William G. Sinkford","African-American Firsts","Politics",2000
"442",2001,"First African-American president of an Ivy League university","Ruth J. Simmons at Brown University","African-American Firsts","Education & Science",2000
"443",2001,"First African-American woman National Security Advisor","Condoleezza Rice (See also","Female African American Firsts","Politics",2000
"444",2001,"First African-American billionaire","Robert L. Johnson, founder of Black Entertainment Television (see also 2002)","African-American Firsts","Social & Jobs",2000
"445",2001,"First African-American woman billionaire","Sheila Johnson","Female African American Firsts","Social & Jobs",2000
"446",2002,"First African-American to become majority owner of a U.S. major sports league team","Robert L. Johnson (Charlotte Bobcats, NBA)[Note 24] (see also 2001)","African-American Firsts","Social & Jobs",2000
"447",2002,"First African-American Winter Olympic gold medal winner","Vonetta Flowers (two-woman bobsleigh)","African-American Firsts","Education & Science",2000
"448",2002,"First African-American woman combat pilot in the U.S. Armed Forces","Captain Vernice Armour, USMC (See also","Female African American Firsts","Military",2000
"449",2002,"First African-American to be ranked #1 in tennis","Venus Williams","African-American Firsts","Sports",2000
"450",2002,"First African-American to be named year-end world champion by the International Tennis Federation","Serena Williams","African-American Firsts","Education & Science",2000
"451",2002,"First African-American Arena Football League head coach to win ArenaBowl","Darren Arbet (San Jose SaberCats), ArenaBowl XVI","African-American Firsts","Sports",2000
"452",2002,"First African-American general manager in the National Football League","Ozzie Newsome (Baltimore Ravens)","African-American Firsts","Military",2000
"453",2003,"First African-American to win a Career Grand Slam in tennis","Serena Williams (See also","African-American Firsts","Sports",2000
"454",2003,"First African-American American Bar Association president","Dennis Archer[263]","African-American Firsts","Law",2000
"455",2004,"First African-American inducted into the World Golf Hall of Fame","Charlie Sifford","African-American Firsts","Sports",2000
"456",2004,"First African-American NBA general manager to win the NBA Finals","Joe Dumars (Detroit Pistons), 2004 NBA Finals","African-American Firsts","Military",2000
"457",2004,"First African-American Canadian Football League head coach to reach (and win) the Grey Cup","Pinball Clemons (Toronto Argonauts), 92nd Grey Cup","African-American Firsts","Sports",2000
"458",2005,"First African-American woman Secretary of State","Condoleezza Rice (See also","Female African American Firsts","Politics",2000
"459",2005,"First African-American woman U.S. Coast Guard aviator","Jeanine Menze","Female African American Firsts","Politics",2000
"460",2005,"First African-American woman, and first woman, to lie in honor at the U.S. Capitol","Rosa Parks[264][258] (See also","Female African American Firsts",NA,2000
"461",2006,"First African-American to command a United States Marine Corps division","Major General Walter E. Gaskin","African-American Firsts","Military",2000
"462",2006,"First African-American individual Winter Olympic gold medal winner","Shani Davis (men's 1,000-meter speed skating)","African-American Firsts","Education & Science",2000
"463",2006,"First African-American to reach the peak of Mount Everest","Sophia Danenberg","African-American Firsts","Social & Jobs",2000
"464",2006,"First African-American woman to receive Dharma transmission in Zen Buddhism","Merle Kodo Boyd[265]","Female African American Firsts","Religion",2000
"465",2006,"First African-American quarterback inducted into the Pro Football Hall of Fame","Warren Moon","African-American Firsts","Sports",2000
"466",2007,"First known African-American woman to reach the North Pole","Barbara Hillary[266]","Female African American Firsts","Social & Jobs",2000
"467",2007,"First African-American White House Chief Usher","Stephen Rochon[267]","Female African American Firsts","Politics",2000
"468",2007,"First African-American NFL head coaches to reach the Super Bowl","Lovie Smith and Tony Dungy, Super Bowl XLI[Note 25]","African-American Firsts","Sports",2000
"469",2007,"First African-American NFL coach to win a Super Bowl","Tony Dungy (Super Bowl XLI)","African-American Firsts","Sports",2000
"470",2008,"First African-American to be nominated as a major-party U.S. presidential candidate","Barack Obama, Democratic Party[268]","African-American Firsts","Politics",2000
"471",2008,"First African-American elected President of the United States","Barack Obama[269]","African-American Firsts","Politics",2000
"472",2008,"First African-American to referee a Super Bowl game","Mike Carey (Super Bowl XLII)","African-American Firsts","Sports",2000
"473",2008,"First African-American woman elected Speaker of a state House of Representatives","California Rep. Karen Bass","Female African American Firsts","Politics",2000
"474",2008,"First African-American to be appointed to the United States Senate by a state governor","Roland Burris","African-American Firsts","Politics",2000
"475",2008,"First African-American woman combat pilot in the United States Air Force","Major Shawna Rochelle Kimbrell (See also","Female African American Firsts","Military",2000
"476",2008,"First African-American NFL general manager to win the Super Bowl","Jerry Reese (New York Giants), Super Bowl XLII","African-American Firsts","Military",2000
"477",2009,"First African-American President of the United States","Barack Obama","African-American Firsts","Politics",2000
"478",2009,"First African-American First Lady of the United States","Michelle Obama","African-American Firsts","Politics",2000
"479",2009,"First African-American chair of the Republican National Committee","Michael Steele","African-American Firsts","Politics",2000
"480",2009,"First African-American United States Attorney General","Eric Holder","African-American Firsts","Military",2000
"481",2009,"First African-American woman United States Ambassador to the United Nations","Susan Rice","Female African American Firsts","Education & Science",2000
"482",2009,"First African-American United States Trade Representative","Ron Kirk","African-American Firsts","Politics",2000
"483",2009,"First African-American woman Administrator of the Environmental Protection Agency","Lisa P. Jackson","Female African American Firsts","Politics",2000
"484",2009,"First African-American White House Social Secretary","Desirée Rogers","African-American Firsts","Politics",2000
"485",2009,"First African-American to appear by himself on a circulating U.S. coin","Duke Ellington (District of Columbia quarter).[270]","African-American Firsts","Social & Jobs",2000
"486",2009,"First African-American Administrator of the National Aeronautics and Space Administration","Charles F. Bolden Jr.","African-American Firsts","Education & Science",2000
"487",2009,"First African-American woman rabbi","Alysa Stanton","Female African American Firsts","Religion",2000
"488",2009,"First African-American woman CEO of a Fortune 500 company","Ursula Burns, Xerox Corporation.","Female African American Firsts","Social & Jobs",2000
"489",2009,"First African-American doubles team to be named year-end world champion by the International Tennis Federation","Serena and Venus Williams","African-American Firsts","Education & Science",2000
"490",2010,"First African-American to win the Stanley Cup","Dustin Byfuglien with the Chicago Blackhawks[271]","African-American Firsts","Sports",2010
"491",2011,"First African-American Director of the Federal Bureau of Prisons","Charles E. Samuels Jr.[272]","African-American Firsts","Military",2010
"492",2011,"First African-American admitted to the Reconstructionist Rabbinical College","Sandra Lawson[273][274]","African-American Firsts","Religion",2010
"493",2012,"First African-American to be re-elected President of the United States","Barack Obama[275]","African-American Firsts","Politics",2010
"494",2012,"First African-American Combatant Commander of United States Central Command","Lloyd Austin[276]","African-American Firsts","Military",2010
"495",2012,"First African-American elected president of the Southern Baptist Convention (SBC)","Fred Luter[277][278]","Female African American Firsts","Politics",2010
"496",2012,"First African-American woman to take command of a navy missile destroyer","Monika Washington Stoker[279]","Female African American Firsts","Military",2010
"497",2013,"First African-American U.S. Senator from the former Confederacy since Reconstruction","Tim Scott[280]","African-American Firsts","Politics",2010
"498",2013,"First African-American president of the Academy of Motion Picture Arts and Sciences","Cheryl Boone Isaacs[281]","African-American Firsts","Arts & Entertainment",2010
"499",2013,"First African-American United States Secretary of Homeland Security","Jeh Johnson[282]","African-American Firsts","Politics",2010
"500",2014,"First African-American woman four-star admiral","Michelle J. Howard[283]","Female African American Firsts","Military",2010
"501",2014,"First African-American senator to be elected in the South since Reconstruction","Tim Scott, elected in South Carolina[284]","African-American Firsts","Politics",2010
"502",2014,"First African-American player named to the USA Curtis Cup Team","Mariah Stackhouse[285][286]","African-American Firsts","Education & Science",2010
"503",2015,"First African-American to lead a major intelligence agency","Vincent R. Stewart, Defense Intelligence Agency[287]","African-American Firsts","Politics",2010
"504",2015,"First African-American commissioner of a major North American sports league","Jeffrey Orridge, Canadian Football League[288]","African-American Firsts","Politics",2010
"505",2015,"First African-American woman Attorney General of the United States","Loretta Lynch[289]","Female African American Firsts","Military",2010
"506",2015,"First African-American female principle dancer for the American Ballet Theatre","Misty Copeland[290]","Female African American Firsts","Arts & Entertainment",2010
"507",2015,"First African-American to be inducted into the NASCAR Hall of Fame","Wendell Scott[291] (See also","African-American Firsts","Sports",2010
"508",2015,"First African-American sole anchor of a network evening newscast","Lester Holt[292]","African-American Firsts","Arts & Entertainment",2010
"509",2015,"First African-American elected as presiding bishop of the Episcopal Church","Bishop Michael Curry[293]","African-American Firsts","Religion",2010
"510",2015,"First African-American female American Bar Association president","Paulette Brown[294]","Female African American Firsts","Law",2010
"511",2016,"First African-American president of a major broadcast TV network","Channing Dungey","African-American Firsts","Arts & Entertainment",2010
"512",2016,"First African-American Librarian of Congress","Dr. Carla Hayden[295]","African-American Firsts","Education & Science",2010
"513",2017,"First African-American CEO of a Major League Baseball team","Derek Jeter[296]","African-American Firsts","Social & Jobs",2010
"514",2018,"First African-American woman to headline Coachella","Beyoncé, giving rise to the nickname Beychella","Female African American Firsts","Sports",2010
"515",2018,"First African-American to play for Team USA Hockey in the Olympic Games","Jordan Greenway","African-American Firsts","Sports",2010
"516",2018,"First African-American artist commissioned for US president portrait to be displayed in the Smithsonian","Kehinde Wiley","African-American Firsts","Arts & Entertainment",2010
"517",2018,"First African-American artist commissioned for US first-lady portrait to be displayed in the Smithsonian","Amy Sherald","African-American Firsts","Arts & Entertainment",2010
"518",2018,"First African-American president of the American Psychiatric Association","Altha Stewart[297]","African-American Firsts","Politics",2010
"519",2018,"First African-American woman to be major party nominee for state governor","Stacey Abrams[298]","Female African American Firsts","Politics",2010
"520",2018,"First African-American superintendent of the United States Military Academy","Darryl A. Williams[299]","African-American Firsts","Military",2010
"521",2018,"First African-American woman U.S. Marine Corps general officer","Lorna Mahlock","Female African American Firsts","Military",2010
"522",2019,"First African-American woman to be the director of the Illinois Department of Public Health","Dr. Ngozi Ezike[300]","Female African American Firsts","Arts & Entertainment",2010
"523",2019,"First African-American general authority of the Church of Jesus Christ of Latter-day Saints","Peter M. Johnson","African-American Firsts","Military",2010
"524",2019,"First African-American (and first historian) secretary of the Smithsonian Institution","Lonnie Bunch[301]","African-American Firsts","Arts & Entertainment",2010
"525",2019,"First African-American female director of an Association of Zoos and Aquariums-accredited institution","Denise Verret[302]","Female African American Firsts","Arts & Entertainment",2010
"526",2019,"First African-American elected official to lie in state at the U.S. Capitol","Representative Elijah Cummings[303][304] (See also","African-American Firsts","Politics",2010
"527",2020,"First African-American to be appointed as a military Chief of Staff and first African-American to lead any branch of the United States Armed Forces","Charles Q. Brown Jr.","African-American Firsts","Military",2020
"528",2020,"First African-American president of an NFL team","Jason Wright (Washington Football Team)[305][306]","African-American Firsts","Politics",2020
"529",2020,"First African-American Professor of Poetry, first African-American woman Professor and first Distinguished Visiting Poetry Professor of the Iowa Writers' Workshop","Tracie Morris[307]","Female African American Firsts","Education & Science",2020
"530",2020,"First African-American vice-presidential running mate on a major party ticket, and first African-American (and first Asian-American) vice president","Kamala Harris (see also","African-American Firsts","Politics",2020
"531",2020,"First African-American elected official to lie in state at the U.S. Capitol Rotunda","John Lewis[311] (See also","African-American Firsts","Politics",2020
"532",2020,"First African-American Catholic cardinal","Wilton Gregory[312]","African-American Firsts",NA,2020
"533",2021,"First African-American Democratic U.S. Senator to represent a former Confederate state in the United States Senate","Raphael Warnock, elected in Georgia.[313][314][315]","African-American Firsts","Politics",2020
"534",2021,"First African-American (and first Asian-American) Vice President of the United States","Kamala Harris","African-American Firsts","Politics",2020
"535",2021,"First African-American United States Secretary of Defense","Lloyd Austin[316]","African-American Firsts","Politics",2020
"536",2021,"First full-time female African-American NFL coach","Jennifer King (Washington Football Team).[317]","Female African American Firsts","Sports",2020
"537",2021,"First African-American president of the American Civil Liberties Union","Deborah Archer[318]","African-American Firsts","Politics",2020
"538",2021,"First African-American woman to serve on the Supreme Court of Missouri","Robin Ransom[319]","Female African American Firsts","Military",2020
"539",2021,"First African-American to win the Scripps National Spelling Bee","Zaila Avant-garde[320]","African-American Firsts",NA,2020
"540",2021,"First African-American NCAA ice hockey coach","Kelsey Koelzer[321]","African-American Firsts","Sports",2020
"541",2022,"First African-American woman and first woman to be the police commissioner of the New York Police Department","Keechant Sewell.[322]","Female African American Firsts","Law",2020
"542",2022,"First African-American woman to appear on U.S. currency (a quarter)","Maya Angelou[323]","Female African American Firsts",NA,2020
