"","year","accomplishment","person","gender","category","decade"
"223",1956,"First African-American to win the Cy Young Award as the top pitcher in Major League Baseball, in the award's inaugural year","Don Newcombe (Brooklyn Dodgers)[198]","Female African American Firsts","Education & Science",1950
"224",1956,"First African-American woman to become president of a four-year, fully accredited liberal arts college","Willa Beatrice Player (Bennett College)[199]","Female African American Firsts","Education & Science",1950
"225",1957,"First African-American female Wimbledon Tennis Champion","Althea Gibson","Female African American Firsts","Sports",1950
"226",1957,"First African-American assistant coach in the NFL","Lowell W. Perry (See also","African-American Firsts","Sports",1950
"227",1957,"First African-American to win Major League Baseball's Gold Glove, in the award's inaugural year","Willie Mays (New York Giants)[201][Note 14]","African-American Firsts","Education & Science",1950
"228",1958,"First African-American flight attendant","Ruth Carol Taylor (Mohawk Airlines)[202]","African-American Firsts","Social & Jobs",1950
"229",1958,"First African-American to reach number-one on the Billboard Hot 100","Tommy Edwards (It's All in the Game)","African-American Firsts","Arts & Entertainment",1950
"230",1959,"First African-American Grammy Award winners, in the award's inaugural year","Ella Fitzgerald and Count Basie (two awards each)[203]","African-American Firsts","Arts & Entertainment",1950
"231",1959,"First African-American television journalist","Louis Lomax","African-American Firsts","Arts & Entertainment",1950
"232",1959,"First African-American to win a major national player of the year award in college basketball","Oscar Robertson, USBWA Player of the Year[Note 15] (in that award's inaugural year)","African-American Firsts","Education & Science",1950
"233",1959,"First African-American to win the Heisman Trophy","Ernie Davis","African-American Firsts","Sports",1950
"234",1959,"First African-American to serve on a U.S. district court","James Benton Parsons, appointed to the U.S. District Court for the Northern District of Illinois","African-American Firsts","Military",1950
"235",1959,"First African-American delegate to the North Atlantic Treaty Organization","Edith S. Sampson (See also","African-American Firsts","Politics",1950
"236",1959,"First African-American to go over Niagara Falls","Nathan Boya a.k.a. William FitzGerald","African-American Firsts","Social & Jobs",1950
"237",1959,"First African-American to join the PGA Tour","Charlie Sifford[204]","African-American Firsts","Sports",1950
"238",1962,"First African-American to be inducted into the Baseball Hall of Fame","Jackie Robinson (See also","African-American Firsts","Education & Science",1960
"239",1962,"First African-American coach in Major League Baseball","John Jordan Buck O'Neil (Chicago Cubs)","African-American Firsts","Education & Science",1960
"240",1962,"First African-American attorney general of a state","Edward Brooke (Massachusetts) (See also","African-American Firsts","Military",1960
"241",1962,"First African-American student admitted to the University of Mississippi","James Meredith[205]","African-American Firsts","Education & Science",1960
"242",1963,"First African-American bank examiner for the United States Department of the Treasury","Roland Burris","African-American Firsts","Politics",1960
"243",1963,"First African-American to graduate from the University of Mississippi","James Meredith[206]","African-American Firsts","Education & Science",1960
"244",1963,"First African-American named as Time magazine's Man of the Year","Martin Luther King Jr.[207]","African-American Firsts","Arts & Entertainment",1960
"245",1963,"First African-American to win a NASCAR Grand National event","Wendell Scott","African-American Firsts","Sports",1960
"246",1963,"First African-American police officer of the NYPD to be named a precinct commander","Lloyd Sealy, commander of the NYPD's 28th Precinct in Harlem.[83]","African-American Firsts","Military",1960
"247",1963,"First African-American to be named American League MVP","Elston Howard (New York Yankees) (See also","African-American Firsts","Education & Science",1960
"248",1963,"First African-American chess master","Walter Harris[208][209]","African-American Firsts","Social & Jobs",1960
"249",1963,"First African-American to appear as a series regular on a primetime dramatic television series","Cicely Tyson, East Side/West Side (CBS).[210][211]","African-American Firsts","Arts & Entertainment",1960
"250",1963,"First African-American to be nominated for a Primetime Emmy Award","Diahann Carroll, for Outstanding Single Performance by an Actress in a Lead Role, for the episode A Horse Has a Big Head, Let Him Worry of Naked City (See also","African-American Firsts","Arts & Entertainment",1960
"251",1963,"First African-Americans inducted to the Basketball Hall of Fame","New York Renaissance, inducted as a team. (See also","African-American Firsts","Education & Science",1960
"252",1963,"First African-American to graduate from the U.S. Air Force Academy","Charles V. Bush.","African-American Firsts","Military",1960
"253",1964,"First African-American to join the Ladies Professional Golf Association","Althea Gibson","African-American Firsts","Sports",1960
"254",1964,"First African-American pilot for a major commercial airline","David E. Harris, American Airlines[212][Note 16] (See also","African-American Firsts","Social & Jobs",1960
"255",1964,"First movie with African-American interracial marriage","One Potato, Two Potato,[214] actors Bernie Hamilton and Barbara Barrie, written by Orville H. Hampton, Raphael Hayes, directed by Larry Peerce","African-American Firsts","Arts & Entertainment",1960
"256",1964,"First African-American baseball player to be named the Major League Baseball World Series MVP","Bob Gibson, St. Louis Cardinals[215]","African-American Firsts","Education & Science",1960
"257",1965,"First African-American nationally syndicated cartoonist","Morrie Turner (Wee Pals)","African-American Firsts","Arts & Entertainment",1960
"258",1965,"First African-American title character of a comic book series","Lobo (Dell Comics).[216][Note 17] (See also","African-American Firsts","Arts & Entertainment",1960
"259",1965,"First African-American star of a network television drama","Bill Cosby, I Spy (co-star with Robert Culp)","African-American Firsts","Arts & Entertainment",1960
"260",1965,"First African-American cast member of a daytime soap opera","Micki Grant who played Peggy Nolan Harris on Another World until 1972.","African-American Firsts","Arts & Entertainment",1960
"261",1965,"First African-American Playboy Playmate centerfold","Jennifer Jackson (March issue)","African-American Firsts","Social & Jobs",1960
"262",1965,"First African-American U.S. Air Force General","Benjamin Oliver Davis Jr. (Three-star General)","African-American Firsts","Military",1960
"263",1965,"First African-American woman Ambassador of the United States","Patricia Roberts Harris, ambassador to Luxembourg","Female African American Firsts","Education & Science",1960
"264",1965,"First African-American NFL official","Burl Toler, field judge/head linesman","African-American Firsts","Sports",1960
"265",1965,"First African-American to win a national chess championship","Frank Street Jr. (U.S. Amateur Championship)[217]","African-American Firsts","Social & Jobs",1960
"266",1965,"First African-American United States Solicitor General","Thurgood Marshall (See also","African-American Firsts","Military",1960
"267",1966,"First African-American man to be nominated for a Primetime Emmy Award and first African-American to win a Primetime Emmy Award","Bill Cosby, I Spy","African-American Firsts","Arts & Entertainment",1960
"268",1966,"First team with five African-American starters to win the NCAA Basketball Tournament","1965–66 Texas Western Miners basketball team","African-American Firsts","Education & Science",1960
"269",1966,"First African-American coach in the National Basketball Association","Bill Russell (Boston Celtics)","African-American Firsts","Education & Science",1960
"270",1966,"First African-American model on the cover of a Vogue (British Vogue) magazine","Donyale Luna","African-American Firsts","Arts & Entertainment",1960
"271",1966,"First post-Reconstruction African-American elected to the U.S. Senate (and first African-American elected to the U.S. Senate by popular vote)","Edward Brooke (Republican; Massachusetts) (See also","African-American Firsts","Social & Jobs",1960
"272",1966,"First African-American Cabinet secretary","Robert C. Weaver (Department of Housing and Urban Development)","African-American Firsts","Politics",1960
"273",1966,"First African-American Major League Baseball umpire","Emmett Ashford","African-American Firsts","Education & Science",1960
"274",1966,"First African-American NFL broadcaster","Lowell W. Perry[citation needed] (CBS, on Pittsburgh Steelers games) (See also","African-American Firsts","Sports",1960
"275",1966,"First African-American fire commissioner of a major U.S. City","Robert O. Lowery of the New York City Fire Department","African-American Firsts","Politics",1960
"276",1966,"First African-American mayor in Ohio","Robert C. Henry of Springfield, Ohio.","African-American Firsts","Politics",1960
"277",1967,"First African-American to win a PGA Tour event","Charlie Sifford (1967 Greater Hartford Open Invitational)","African-American Firsts","Sports",1960
"278",1967,"First African-American elected mayor of a large US city","Carl B. Stokes (Cleveland, Ohio)","African-American Firsts","Politics",1960
"279",1967,"First African-American appointed to the Supreme Court of the United States","Thurgood Marshall (See also","African-American Firsts","Politics",1960
"280",1967,"First African-American selected for astronaut training","Robert Henry Lawrence Jr.","African-American Firsts","Education & Science",1960
"281",1967,"First African-American to be inducted into the Pro Football Hall of Fame","Emlen Tunnell","African-American Firsts","Sports",1960
"282",1967,"First African-American interracial kiss on network television","entertainers Nancy Sinatra (Italian-American) and Sammy Davis Jr. (African-American) on Sinatra's variety special Movin' With Nancy, airing December 11 on NBC[218] (See also","African-American Firsts","Arts & Entertainment",1960
"283",1968,"First African-American interracial kiss on a network television drama","Uhura, played by Nichelle Nichols (African-American), and Captain Kirk, played by William Shatner (white Canadian)","African-American Firsts","Arts & Entertainment",1960
"284",1968,"First African-American man to win a Grand Slam tennis event","Arthur Ashe (US Open) (See also","African-American Firsts","Sports",1960
"285",1968,"First African-American coach to win an NBA Championship","Bill Russell","African-American Firsts","Sports",1960
"286",1968,"First African-American woman elected to U.S. House of Representatives","Shirley Chisholm (New York)","Female African American Firsts","Politics",1960
"287",1968,"First African-American appointed as a United States Assistant Secretary of State","Barbara M. Watson","African-American Firsts","Politics",1960
"288",1968,"First African-American to start at quarterback in the modern era of professional football","Marlin Briscoe (Denver Broncos, AFL)","African-American Firsts","Education & Science",1960
"289",1968,"First African-American commissioned officer awarded the Medal of Honor","Riley L. Pitts","African-American Firsts","Military",1960
"290",1968,"First fine-arts museum devoted to African-American work","Studio Museum in Harlem","African-American Firsts","Social & Jobs",1960
"291",1968,"First African-American actress to star in her television series where she did not play a domestic worker","Diahann Carroll in Julia (see also","Female African American Firsts","Arts & Entertainment",1960
"292",1968,"First African-American woman as a presidential candidate","Charlene Mitchell (See also","Female African American Firsts","Politics",1960
